Designator,Comment,Layer,Footprint,Mid X,Mid Y,Rotation,Description
J39,282836-2,Top,TECO-282836-2_V,151.25,102.75,90,"Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
J34,282836-2,Top,TECO-282836-2_V,138.3543,116.75,180,"Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
J27,282836-2,Top,TECO-282836-2_V,151.25,21.75,90,"Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
J22,282836-2,Top,TECO-282836-2_V,139.15,5.25,0,"Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
J12,282836-2,Top,TECO-282836-2_V,82.85,84.15,180,"Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
J7,282836-2,Top,TECO-282836-2_V,40.85,68.3542,270,"Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
J6,282836-2,Top,TECO-282836-2_V,40.75,57.25,270,"Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
J5,282836-2,Top,TECO-282836-2_V,71.15,84.15,180,"Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
J38,282836-2,Top,TECO-282836-2_V,149.4585,116.75,180,"Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
J26,282836-2,Top,TECO-282836-2_V,150.2543,5.25,0,"Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
D8,ES2BA-13-F,Top,FP-SMA-MFG,20.5,105.25,270,DIODE GEN PURP 100V 2A SMA
D4,ES2BA-13-F,Top,FP-SMA-MFG,18.75,17.75,90,DIODE GEN PURP 100V 2A SMA
D7,ES2BA-13-F,Top,FP-SMA-MFG,57.25,105.25,90,DIODE GEN PURP 100V 2A SMA
D3,ES2BA-13-F,Top,FP-SMA-MFG,50.75,17.75,90,DIODE GEN PURP 100V 2A SMA
D6,ES2BA-13-F,Top,FP-SMA-MFG,93.25,105.25,90,DIODE GEN PURP 100V 2A SMA
D2,ES2BA-13-F,Top,FP-SMA-MFG,87.75,17.75,90,DIODE GEN PURP 100V 2A SMA
D5,ES2BA-13-F,Top,FP-SMA-MFG,130.25,105,90,DIODE GEN PURP 100V 2A SMA
D1,ES2BA-13-F,Top,FP-SMA-MFG,125.25,17.75,90,DIODE GEN PURP 100V 2A SMA
